 ,Current headcount by department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,VVO,MS, 13.8 ," 6,933 "
,,,,,,,,,,,,,,,,,,,,,,,,,,VVO,CMO, 1.7 ," 1,063 "
,,,,,,,,,,,,,,,,,,,,,,,,,,VVO,CALIFRESH, 4.5 ," 1,364 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,PBH,Sales, 9.3 ," 6,700 "
,,,,,,,,,,,,,,,,,,,,,,,,,,PBH,PT, 15.2 ," 5,719 "
,,,,,,,,,,,,,,,,,,,,,,,,,,PBH,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,PBH,GX, 2.9 , 385 
,,,,,,,,,,,,,,,,,,,,,,,,,,PBH,Yoga, 4.6 ," 5,320 "
,,,,,,,,,,,,,,,,,,,,,,,,,,PBH,MS, 11.6 ," 5,491 "
,,,,,,,,,,,,,,,,,,,,,,,,,,PBH,CMO, 0.8 , 590 
,,,,,,,,,,,,,,,,,,,,,,,,,,PBH,CALIFRESH, 3.0 ," 1,104 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,NTC,Sales, 8.1 ," 4,040 "
,,,,,,,,,,,,,,,,,,,,,,,,,,NTC,PT, 18.9 ," 8,885 "
,,,,,,,,,,,,,,,,,,,,,,,,,,NTC,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,NTC,GX, 4.0 ," 1,220 "
,,,,,,,,,,,,,,,,,,,,,,,,,,NTC,Yoga, 3.6 ," 3,502 "
,,,,,,,,,,,,,,,,,,,,,,,,,,NTC,MS, 14.0 ," 6,573 "
,,,,,,,,,,,,,,,,,,,,,,,,,,NTC,CMO, 2.0 ," 1,190 "
,,,,,,,,,,,,,,,,,,,,,,,,,,NTC,CALIFRESH, 3.3 ," 1,386 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,CTC,Sales, 14.4 ," 8,860 "
,,,,,,,,,,,,,,,,,,,,,,,,,,CTC,PT, 26.5 ," 12,487 "
,,,,,,,,,,,,,,,,,,,,,,,,,,CTC,Hypoxi, 2.6 , 979 
,,,,,,,,,,,,,,,,,,,,,,,,,,CTC,GX, 5.9 , 791 
,,,,,,,,,,,,,,,,,,,,,,,,,,CTC,Yoga, 4.7 ," 4,810 "
,,,,,,,,,,,,,,,,,,,,,,,,,,CTC,MS, 18.0 ," 8,131 "
,,,,,,,,,,,,,,,,,,,,,,,,,,CTC,CMO, 2.2 ," 1,384 "
,,,,,,,,,,,,,,,,,,,,,,,,,,CTC,CALIFRESH, 4.3 ," 1,463 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,PCH,Sales, 13.7 ," 10,364 "
,,,,,,,,,,,,,,,,,,,,,,,,,,PCH,PT, 12.9 ," 6,240 "
,,,,,,,,,,,,,,,,,,,,,,,,,,PCH,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,PCH,GX, 5.9 , 766 
,,,,,,,,,,,,,,,,,,,,,,,,,,PCH,Yoga, 2.4 ," 2,460 "
,,,,,,,,,,,,,,,,,,,,,,,,,,PCH,MS, 13.5 ," 6,049 "
,,,,,,,,,,,,,,,,,,,,,,,,,,PCH,CMO, 1.2 , 792 
,,,,,,,,,,,,,,,,,,,,,,,,,,PCH,CALIFRESH, 2.1 , 713 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,AMY,Sales, 7.9 ," 5,573 "
,,,,,,,,,,,,,,,,,,,,,,,,,,AMY,PT, 12.5 ," 7,610 "
,,,,,,,,,,,,,,,,,,,,,,,,,,AMY,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,AMY,GX, 2.7 , 168 
,,,,,,,,,,,,,,,,,,,,,,,,,,AMY,Yoga, 3.9 ," 3,679 "
,,,,,,,,,,,,,,,,,,,,,,,,,,AMY,MS, 11.1 ," 5,243 "
,,,,,,,,,,,,,,,,,,,,,,,,,,AMY,CMO, 1.2 , 754 
,,,,,,,,,,,,,,,,,,,,,,,,,,AMY,CALIFRESH, 3.4 ," 1,201 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,MPC,Sales, 9.4 ," 6,711 "
,,,,,,,,,,,,,,,,,,,,,,,,,,MPC,PT, 17.4 ," 8,415 "
,,,,,,,,,,,,,,,,,,,,,,,,,,MPC,Hypoxi, 2.8 , 954 
,,,,,,,,,,,,,,,,,,,,,,,,,,MPC,GX, 9.2 ," 1,885 "
,,,,,,,,,,,,,,,,,,,,,,,,,,MPC,Yoga, 3.1 ," 3,019 "
,,,,,,,,,,,,,,,,,,,,,,,,,,MPC,MS, 13.1 ," 6,953 "
,,,,,,,,,,,,,,,,,,,,,,,,,,MPC,CMO, 0.9 , 596 
,,,,,,,,,,,,,,,,,,,,,,,,,,MPC,CALIFRESH, 1.7 , 838 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HDY,Sales, 13.9 ," 7,850 "
,,,,,,,,,,,,,,,,,,,,,,,,,,HDY,PT, 15.4 ," 7,288 "
,,,,,,,,,,,,,,,,,,,,,,,,,,HDY,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,HDY,GX, 2.8 , 300 
,,,,,,,,,,,,,,,,,,,,,,,,,,HDY,Yoga, 3.7 ," 3,715 "
,,,,,,,,,,,,,,,,,,,,,,,,,,HDY,MS, 7.4 ," 3,634 "
,,,,,,,,,,,,,,,,,,,,,,,,,,HDY,CMO, 1.2 , 792 
,,,,,,,,,,,,,,,,,,,,,,,,,,HDY,CALIFRESH, 2.3 , 892 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,TDU,Sales, 11.8 ," 6,825 "
,,,,,,,,,,,,,,,,,,,,,,,,,,TDU,PT, 36.0 ," 17,095 "
,,,,,,,,,,,,,,,,,,,,,,,,,,TDU,Hypoxi, 1.6 , 742 
,,,,,,,,,,,,,,,,,,,,,,,,,,TDU,GX, 4.5 ," 1,225 "
,,,,,,,,,,,,,,,,,,,,,,,,,,TDU,Yoga, 6.8 ," 7,671 "
,,,,,,,,,,,,,,,,,,,,,,,,,,TDU,MS, 16.5 ," 8,801 "
,,,,,,,,,,,,,,,,,,,,,,,,,,TDU,CMO, 0.7 , 505 
,,,,,,,,,,,,,,,,,,,,,,,,,,TDU,CALIFRESH, 4.9 ," 1,611 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,GVC,Sales, 9.3 ," 4,567 "
,,,,,,,,,,,,,,,,,,,,,,,,,,GVC,PT, 12.7 ," 6,238 "
,,,,,,,,,,,,,,,,,,,,,,,,,,GVC,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,GVC,GX, 4.4 , 597 
,,,,,,,,,,,,,,,,,,,,,,,,,,GVC,Yoga, 4.6 ," 3,648 "
,,,,,,,,,,,,,,,,,,,,,,,,,,GVC,MS, 11.8 ," 5,775 "
,,,,,,,,,,,,,,,,,,,,,,,,,,GVC,CMO, 0.7 , 505 
,,,,,,,,,,,,,,,,,,,,,,,,,,GVC,CALIFRESH, 3.8 ," 1,369 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,WPC,Sales, 12.4 ," 11,399 "
,,,,,,,,,,,,,,,,,,,,,,,,,,WPC,PT, 20.4 ," 8,579 "
,,,,,,,,,,,,,,,,,,,,,,,,,,WPC,Hypoxi, 5.8 ," 2,482 "
,,,,,,,,,,,,,,,,,,,,,,,,,,WPC,GX, 5.0 , 770 
,,,,,,,,,,,,,,,,,,,,,,,,,,WPC,Yoga, 3.5 ," 3,632 "
,,,,,,,,,,,,,,,,,,,,,,,,,,WPC,MS, 17.8 ," 8,574 "
,,,,,,,,,,,,,,,,,,,,,,,,,,WPC,CMO, 0.9 , 596 
,,,,,,,,,,,,,,,,,,,,,,,,,,WPC,CALIFRESH, 2.9 ," 1,042 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HDC,Sales, 8.4 ," 5,103 "
,,,,,,,,,,,,,,,,,,,,,,,,,,HDC,PT, 16.4 ," 6,720 "
,,,,,,,,,,,,,,,,,,,,,,,,,,HDC,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,HDC,GX, 5.6 , 837 
,,,,,,,,,,,,,,,,,,,,,,,,,,HDC,Yoga, 3.4 ," 3,689 "
,,,,,,,,,,,,,,,,,,,,,,,,,,HDC,MS, 16.4 ," 7,956 "
,,,,,,,,,,,,,,,,,,,,,,,,,,HDC,CMO, 1.9 ," 1,314 "
,,,,,,,,,,,,,,,,,,,,,,,,,,HDC,CALIFRESH, 3.1 ," 1,139 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,LMC,Sales, 18.9 ," 10,822 "
,,,,,,,,,,,,,,,,,,,,,,,,,,LMC,PT, 27.8 ," 13,300 "
,,,,,,,,,,,,,,,,,,,,,,,,,,LMC,Hypoxi, 2.6 , 985 
,,,,,,,,,,,,,,,,,,,,,,,,,,LMC,GX, 4.3 , 431 
,,,,,,,,,,,,,,,,,,,,,,,,,,LMC,Yoga, 4.0 ," 3,647 "
,,,,,,,,,,,,,,,,,,,,,,,,,,LMC,MS, 14.6 ," 7,885 "
,,,,,,,,,,,,,,,,,,,,,,,,,,LMC,CMO, 1.7 ," 1,063 "
,,,,,,,,,,,,,,,,,,,,,,,,,,LMC,CALIFRESH, 4.2 ," 1,278 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,GDC,Sales, 6.8 ," 4,555 "
,,,,,,,,,,,,,,,,,,,,,,,,,,GDC,PT, 39.3 ," 16,863 "
,,,,,,,,,,,,,,,,,,,,,,,,,,GDC,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,GDC,GX, 3.7 , 881 
,,,,,,,,,,,,,,,,,,,,,,,,,,GDC,Yoga, 1.9 ," 1,878 "
,,,,,,,,,,,,,,,,,,,,,,,,,,GDC,MS, 11.2 ," 5,581 "
,,,,,,,,,,,,,,,,,,,,,,,,,,GDC,CMO, 1.2 , 773 
,,,,,,,,,,,,,,,,,,,,,,,,,,GDC,CALIFRESH, 4.0 ," 1,522 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,GMC,Sales, 10.9 ," 5,857 "
,,,,,,,,,,,,,,,,,,,,,,,,,,GMC,PT, 14.3 ," 5,497 "
,,,,,,,,,,,,,,,,,,,,,,,,,,GMC,Hypoxi, 1.6 , 646 
,,,,,,,,,,,,,,,,,,,,,,,,,,GMC,GX, 4.0 , 341 
,,,,,,,,,,,,,,,,,,,,,,,,,,GMC,Yoga, 3.7 ," 3,496 "
,,,,,,,,,,,,,,,,,,,,,,,,,,GMC,MS, 11.4 ," 5,971 "
,,,,,,,,,,,,,,,,,,,,,,,,,,GMC,CMO, 1.2 , 769 
,,,,,,,,,,,,,,,,,,,,,,,,,,GMC,CALIFRESH, 2.7 , 841 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,VTC,Sales, 6.8 ," 3,745 "
,,,,,,,,,,,,,,,,,,,,,,,,,,VTC,PT, 8.3 ," 2,631 "
,,,,,,,,,,,,,,,,,,,,,,,,,,VTC,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,VTC,GX, 3.5 ," 1,047 "
,,,,,,,,,,,,,,,,,,,,,,,,,,VTC,Yoga, 2.6 ," 2,538 "
,,,,,,,,,,,,,,,,,,,,,,,,,,VTC,MS, 7.6 ," 4,027 "
,,,,,,,,,,,,,,,,,,,,,,,,,,VTC,CMO, 1.8 ," 1,076 "
,,,,,,,,,,,,,,,,,,,,,,,,,,VTC,CALIFRESH, 4.1 ," 1,344 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,MAC,Sales, 8.2 ," 5,065 "
,,,,,,,,,,,,,,,,,,,,,,,,,,MAC,PT, 11.4 ," 5,492 "
,,,,,,,,,,,,,,,,,,,,,,,,,,MAC,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,MAC,GX, 2.8 , 457 
,,,,,,,,,,,,,,,,,,,,,,,,,,MAC,Yoga, 2.4 ," 1,626 "
,,,,,,,,,,,,,,,,,,,,,,,,,,MAC,MS, 9.8 ," 4,589 "
,,,,,,,,,,,,,,,,,,,,,,,,,,MAC,CMO, 1.1 , 641 
,,,,,,,,,,,,,,,,,,,,,,,,,,MAC,CALIFRESH, 2.9 , 905 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,AMU,Sales, 8.8 ," 4,375 "
,,,,,,,,,,,,,,,,,,,,,,,,,,AMU,PT, 11.7 ," 6,102 "
,,,,,,,,,,,,,,,,,,,,,,,,,,AMU,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,AMU,GX, 4.3 , 297 
,,,,,,,,,,,,,,,,,,,,,,,,,,AMU,Yoga, 1.5 ," 1,375 "
,,,,,,,,,,,,,,,,,,,,,,,,,,AMU,MS, 10.7 ," 4,563 "
,,,,,,,,,,,,,,,,,,,,,,,,,,AMU,CMO, 1.2 , 773 
,,,,,,,,,,,,,,,,,,,,,,,,,,AMU,CALIFRESH, 4.1 ," 1,220 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,VSC,Sales, 7.4 ," 3,339 "
,,,,,,,,,,,,,,,,,,,,,,,,,,VSC,PT, 14.4 ," 7,362 "
,,,,,,,,,,,,,,,,,,,,,,,,,,VSC,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,VSC,GX, 3.3 , 444 
,,,,,,,,,,,,,,,,,,,,,,,,,,VSC,Yoga, 2.3 ," 2,536 "
,,,,,,,,,,,,,,,,,,,,,,,,,,VSC,MS, 10.2 ," 5,220 "
,,,,,,,,,,,,,,,,,,,,,,,,,,VSC,CMO, 1.2 , 792 
,,,,,,,,,,,,,,,,,,,,,,,,,,VSC,CALIFRESH, 2.9 ," 1,005 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,TTC,Sales, 6.9 ," 3,939 "
,,,,,,,,,,,,,,,,,,,,,,,,,,TTC,PT, 38.0 ," 15,775 "
,,,,,,,,,,,,,,,,,,,,,,,,,,TTC,Hypoxi, 3.6 ," 1,149 "
,,,,,,,,,,,,,,,,,,,,,,,,,,TTC,GX, 6.5 , 796 
,,,,,,,,,,,,,,,,,,,,,,,,,,TTC,Yoga, 4.4 ," 4,726 "
,,,,,,,,,,,,,,,,,,,,,,,,,,TTC,MS, 14.8 ," 7,535 "
,,,,,,,,,,,,,,,,,,,,,,,,,,TTC,CMO, 1.2 , 790 
,,,,,,,,,,,,,,,,,,,,,,,,,,TTC,CALIFRESH, 3.9 ," 1,351 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
